02-02-2020 15:51:39.728,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4, 347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.68  347.68  347.68  347.68  347.00  347.00  347.00  347.00  347.88  347.88  347.88  347.88  347.00  347.00  347.00  347.00  347.78  347.78  347.78  347.78  347.68  347.68  347.68  347.68  348.18  348.18  348.18  348.18  347.09  347.09  347.09  347.09  347.68  347.68  347.68  347.68  347.78  347.78  347.78  347.78,COM4 - 9600/8/N/1/N,1"
02-02-2020 15:52:07.133,4567,RECV,0D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E
02-02-2020 15:52:07.197,4568,RECV,35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331382E37380D0A3331382E
02-02-2020 15:52:07.260,4569,RECV,37380D0A3331382E37380D0A3331382E37380D0A3331382E36360D0A3331382E36360D0A3331382E36360D0A3331382E36360D0A3331382E36330D0A3331
02-02-2020 15:52:07.322,4570,RECV,382E36330D0A3331382E36330D0A3331382E36330D0A3331382E32330D0A3331382E32330D0A3331382E32330D0A3331382E32330D0A3331372E39320D
02-02-2020 15:52:07.416,4571,RECV,0A3331372E39320D0A3331372E39320D0A3331372E39320D0A3331372E37310D0A3331372E37310D0A3331372E37310D0A3331372E37310D0A3331372E32
02-02-2020 15:52:07.447,4572,RECV,310D0A3331372E32310D0A3331372E32310D0A3331372E32310D0A3331362E38320D0A3331362E38320D0A3331362E38320D0A3331362E38320D0A3331
02-02-2020 15:52:07.510,4573,RECV,362E33370D0A3331362E33370D0A3331362E33370D0A3331362E33370D0A3331352E33380D0A3331352E33380D0A3331352E33380D0A3331352E33380D0A
02-02-2020 15:52:07.572,4574,RECV,3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30
02-02-2020 15:52:07.635,4575,RECV,350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A3332312E30350D0A333134
02-02-2020 15:52:07.697,4576,RECV,2E36350D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331302E37390D0A3330392E37390D
02-02-2020 15:52:07.822,4577,RECV,2E33340D0A3330392E33340D0A3330392E39330D0A3330392E39330D0A3330392E39330D
02-02-2020 15:52:07.885,4578,RECV,0A3330392E39330D0A3331302E30370D0A3331302E30370D0A3331302E30370D0A3331302E30370D0A3331302E33300D0A3331302E33300D0A3331302E
02-02-2020 15:52:07.978,4579,RECV,33300D0A3331302E33300D0A3331302E38350D0A3331302E38350D0A3331302E38350D0A3331302E38350D0A3331312E38330D
02-02-2020 15:52:08.010,4580,RECV,0A3331312E38330D0A3331312E38330D0A3331312E38330D0A3331322E31360D0A3331322E31360D0A3331322E31360D0A3331322E31360D0A3331332E30
02-02-2020 15:52:08.072,4581,RECV,350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331
02-02-2020 15:52:08.135,4582,RECV,332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A
